release_year,genres
1995,['Action']
1994,['Action']
1994,['Action']
2001,['Action']
1997,['Action']
1993,['Action']
2003,['Action']
2007,['Action']
2007,['Action']
2007,['Strategy']
2006,['Strategy']
2007,"['Action', 'RPG']"
2006,['Strategy']
2006,['Strategy']
2004,['Strategy']
2006,['Strategy']
2007,['Casual']
1998,['Action']
1999,['Action']
2004,['Action']
2003,['Racing']
2003,['Action']
2006,"['Action', 'Adventure']"
2001,['Action']
2008,['Strategy']
2007,['Casual']
2007,"['RPG', 'Casual', 'Adventure']"
2007,['Strategy']
2007,"['Action', 'Adventure', 'Strategy']"
2007,['Racing']
2008,['Action']
2007,['Action']
2006,['Simulation']
2006,['Action']
2007,"['Action', 'Adventure']"
2006,['Action']
2006,"['Simulation', 'Strategy']"
2005,['Action']
2003,['Action']
1998,['Action']
2008,"['Casual', 'Indie']"
2003,['Action']
2004,['Action']
2000,['Action']
2006,['Action']
2005,['Simulation']
2008,"['Casual', 'Simulation']"
2008,['Casual']
2008,['Casual']
2008,['Casual']
2008,['Casual']
2008,['Casual']
2005,['Casual']
2007,['Casual']
2007,['Simulation']
2005,['Casual']
2007,"['Action', 'Adventure']"
2007,['Simulation']
2006,['Simulation']
2008,['Simulation']
2005,['Adventure']
2005,['Racing']
2006,['Adventure']
2008,['Racing']
2007,['Simulation']
2007,['Casual']
2008,['Adventure']
2008,['Sports']
2008,"['Adventure', 'RPG']"
2008,"['Adventure', 'Indie']"
2007,"['Simulation', 'Strategy']"
2008,"['Action', 'Indie']"
2008,['Racing']
1998,['Adventure']
1997,['Adventure']
2008,['Racing']
2001,['Strategy']
1997,['Strategy']
1993,['Strategy']
2008,"['Action', 'RPG']"
2008,['Action']
2007,['Action']
1998,['Strategy']
2008,"['Action', 'RPG']"
2008,['Indie']
2008,['Racing']
2008,"['Strategy', 'Simulation']"
2008,['Strategy']
2003,['Action']
2008,"['Action', 'Adventure']"
2008,"['Simulation', 'Strategy']"
2008,"['RPG', 'Strategy']"
2008,['Action']
2008,"['Indie', 'Casual']"
2006,['Racing']
2006,['Strategy']
2005,['Action']
2007,['Strategy']
2008,['Strategy']
2007,['Casual']
2002,['Action']
2008,['Casual']
2008,['Indie']
2008,"['Action', 'Simulation', 'Strategy']"
2008,['Action']
2008,"['Casual', 'Indie']"
2008,"['Indie', 'Casual', 'Sports']"
2008,"['Action', 'Adventure']"
2008,['Action']
2008,"['Action', 'Indie', 'Strategy']"
2009,['Simulation']
2009,['Simulation']
2009,['Simulation']
2009,['Simulation']
2009,['Simulation']
2009,['Simulation']
2009,['Simulation']
2009,['Action']
2008,['Action']
2008,['RPG']
2009,"['Action', 'Adventure']"
2008,"['Indie', 'Strategy']"
2009,['Action']
2008,"['Strategy', 'Indie']"
2007,"['Indie', 'Strategy']"
2009,"['Action', 'Indie']"
2005,['Strategy']
2009,"['Action', 'Adventure', 'Strategy']"
2009,['Strategy']
2009,['Action']
2007,"['Action', 'Adventure', 'Indie']"
2007,['Action']
2009,['RPG']
2009,"['Casual', 'Strategy']"
2008,"['Indie', 'Simulation']"
2009,['Racing']
2009,['Action']
2009,"['Action', 'Indie']"
2009,"['Action', 'Indie']"
2009,"['Action', 'Indie']"
2009,"['Casual', 'Indie']"
2009,['Indie']
2009,"['Simulation', 'Strategy']"
2009,['Casual']
2006,"['RPG', 'Massively Multiplayer']"
2005,"['RPG', 'Massively Multiplayer']"
2006,"['RPG', 'Massively Multiplayer']"
2008,"['Massively Multiplayer', 'RPG']"
2009,['Casual']
2009,['Casual']
2009,['RPG']
2009,['Strategy']
2009,"['Action', 'Adventure', 'RPG']"
2009,"['Action', 'Indie']"
2009,['Indie']
2008,"['RPG', 'Strategy']"
2009,"['Casual', 'Simulation']"
2009,['Racing']
2005,"['RPG', 'Strategy']"
2002,"['RPG', 'Strategy']"
2009,"['Indie', 'Simulation', 'Strategy']"
2009,"['Action', 'Simulation']"
2009,"['Action', 'Adventure']"
2009,"['Adventure', 'Indie']"
2004,['Strategy']
2007,['RPG']
2002,['RPG']
2007,['Adventure']
1999,['Simulation']
1998,['Simulation']
2008,['Strategy']
2009,['Action']
2007,['Adventure']
2006,['Adventure']
2008,['Adventure']
2007,['Adventure']
2008,"['Casual', 'Indie']"
2009,"['Simulation', 'Sports']"
2009,['Adventure']
2009,['Action']
2007,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']"
1992,['Adventure']
2003,['Action']
2005,['Action']
1989,['Adventure']
2008,"['Action', 'Adventure']"
2009,['Adventure']
2008,['Strategy']
2009,"['Action', 'Racing']"
2009,['Adventure']
2009,['Adventure']
2006,['Sports']
2006,['Adventure']
2007,['Action']
2006,['Adventure']
2009,['Action']
2008,"['Action', 'Casual']"
2009,"['Simulation', 'Strategy']"
2009,['Casual']
2008,['Action']
2009,"['Action', 'Adventure']"
2009,['Action']
2009,"['Action', 'Indie']"
2003,"['Adventure', 'RPG']"
2009,"['Indie', 'Casual']"
1998,['RPG']
2001,['Strategy']
1999,['Action']
2009,"['Action', 'Adventure']"
2009,['Adventure']
2009,['Casual']
2009,['Casual']
2009,"['Adventure', 'Indie']"
2005,['Action']
2009,"['Action', 'Racing']"
2009,['Strategy']
2009,['Simulation']
2009,['Simulation']
2009,"['Action', 'Adventure']"
2009,['Casual']
1999,['Casual']
2009,"['Adventure', 'Casual', 'Indie']"
2009,['Simulation']
2009,"['Adventure', 'Casual']"
2009,['Adventure']
2009,['Action']
2009,['Simulation']
2009,['Simulation']
2009,['Simulation']
2009,['RPG']
2009,['Casual']
2009,['Strategy']
2009,"['Adventure', 'Indie']"
2007,['Action']
2009,['Racing']
2009,['RPG']
2009,['Strategy']
2009,['Strategy']
2009,['Strategy']
2009,['Action']
2009,"['RPG', 'Strategy']"
2009,['Adventure']
2009,['Strategy']
2009,['Adventure']
2009,['Strategy']
2009,"['Action', 'Indie']"
2009,"['Action', 'RPG']"
2005,['Strategy']
2003,['Strategy']
2009,"['Action', 'Indie']"
2009,['Adventure']
2009,['RPG']
2009,"['Action', 'RPG', 'Indie']"
2009,"['Indie', 'Casual']"
2009,['Strategy']
2009,['Action']
2009,['Adventure']
2007,['RPG']
2008,['RPG']
2007,['Strategy']
2008,"['Indie', 'Casual']"
2009,['Strategy']
2009,"['Indie', 'Simulation', 'Strategy']"
2009,['Simulation']
2005,"['Action', 'Adventure', 'RPG']"
2009,['Action']
2009,['Action']
2009,['RPG']
2009,"['Strategy', 'Indie', 'Simulation']"
2007,['Simulation']
2008,['Simulation']
2009,['Simulation']
2009,"['Casual', 'Simulation']"
2009,['Casual']
2008,"['Action', 'Adventure']"
2010,"['Action', 'Indie', 'RPG']"
2009,['Simulation']
2010,"['Action', 'Free to Play', 'Indie']"
2008,['Casual']
2010,['Casual']
2009,['Casual']
2007,['Casual']
2009,['Casual']
2010,['Casual']
2010,"['Strategy', 'Casual']"
2010,"['Adventure', 'Casual']"
2010,['Strategy']
2010,['Adventure']
2010,['Sports']
2010,"['Action', 'Indie', 'Racing']"
2010,['Strategy']
2010,['Action']
2007,['Casual']
2010,['Action']
2001,"['Action', 'Indie']"
2010,['Simulation']
2010,"['Action', 'RPG']"
2010,['Action']
2010,"['Action', 'Indie']"
2010,['Action']
2010,['Action']
2010,"['Action', 'Adventure']"
2010,['Indie']
2010,"['Action', 'Casual', 'Indie']"
2010,['Adventure']
2010,"['Simulation', 'Strategy']"
2010,['Simulation']
2010,"['Adventure', 'Indie']"
2003,['Action']
2001,['Action']
2010,"['Casual', 'Indie']"
2006,['Casual']
2008,"['Casual', 'Indie']"
2010,['Strategy']
2008,['Casual']
2009,['Casual']
2009,['Casual']
2007,['Casual']
2009,['Casual']
2010,['Casual']
2008,['Casual']
2007,['Casual']
2009,['Casual']
2010,"['Action', 'Adventure', 'Casual']"
2008,"['Action', 'Indie']"
2010,"['Action', 'Adventure']"
2010,['Indie']
2010,"['Action', 'Indie']"
2010,['Casual']
2010,"['Action', 'Adventure']"
2010,"['Casual', 'Indie']"
2010,['Action']
2010,['Action']
2010,"['Action', 'Adventure', 'Casual', 'RPG']"
2010,['Action']
2010,['Action']
2010,['Strategy']
2010,['Action']
2010,['Action']
2010,['Action']
2010,['Action']
2010,['Action']
2010,"['Action', 'RPG']"
2010,['Action']
2010,['RPG']
2010,"['Strategy', 'Indie']"
2010,['RPG']
2010,['RPG']
2010,['RPG']
2010,['Action']
2010,['RPG']
2003,"['Simulation', 'Strategy']"
2010,"['Strategy', 'RPG']"
2010,"['Casual', 'Indie']"
2010,"['Action', 'Casual', 'Indie']"
2010,['Strategy']
2008,['RPG']
2010,['Action']
2010,"['Simulation', 'Strategy']"
2010,['Strategy']
2010,['Simulation']
2010,['Strategy']
2011,['Action']
2010,['Simulation']
2010,"['RPG', 'Casual']"
2010,['Action']
2010,['Indie']
2010,['Indie']
2010,['Indie']
2010,['Indie']
2010,['Strategy']
2010,['Simulation']
2010,['Strategy']
2010,"['Indie', 'Simulation', 'Strategy']"
2010,"['Action', 'Simulation', 'Strategy']"
2010,['Strategy']
2010,['Indie']
2010,['Action']
2010,['Action']
2010,['Simulation']
2010,['Action']
2002,['Strategy']
2010,['Adventure']
2010,['Casual']
2010,['Action']
2010,['Action']
2010,"['Action', 'Indie']"
2010,['Strategy']
2010,"['Action', 'Adventure', 'Indie']"
2010,"['RPG', 'Indie']"
2010,"['Action', 'Casual', 'Indie']"
2010,"['Action', 'Simulation']"
2010,['Action']
2010,['Simulation']
2010,"['Indie', 'Simulation']"
2010,"['Casual', 'Indie']"
2010,['Strategy']
2010,['Action']
2010,"['RPG', 'Strategy']"
2010,['Simulation']
2010,['Strategy']
2010,['Strategy']
2002,"['Action', 'Indie']"
2010,"['Indie', 'Strategy']"
2010,"['Action', 'Adventure']"
2010,['Action']
2010,['Action']
2010,"['Action', 'Adventure']"
1999,"['Simulation', 'Strategy']"
2010,['Strategy']
2007,"['Action', 'RPG', 'Massively Multiplayer']"
2000,"['Simulation', 'Strategy']"
2010,"['RPG', 'Strategy']"
2010,"['Adventure', 'Casual', 'Simulation']"
2010,"['Adventure', 'Casual', 'Indie', 'Simulation']"
2010,"['RPG', 'Strategy']"
2010,"['RPG', 'Strategy']"
2010,['Action']
2010,"['Indie', 'RPG', 'Strategy']"
2010,"['Action', 'Adventure']"
2010,"['Adventure', 'Casual', 'Indie']"
2010,"['Action', 'RPG']"
2010,"['Action', 'Casual', 'Indie']"
2010,"['Adventure', 'Indie']"
2010,"['Indie', 'Racing']"
2010,['Strategy']
2010,"['Action', 'Indie', 'RPG']"
2010,"['Action', 'Simulation']"
2010,['Casual']
2010,['RPG']
2010,['Action']
2010,"['Action', 'Adventure']"
2010,['Adventure']
2010,['Action']
2010,['Action']
2010,"['Action', 'Indie']"
2010,"['Action', 'Adventure', 'Indie']"
2010,['Action']
2010,"['Action', 'Casual']"
2010,"['RPG', 'Simulation', 'Strategy']"
2010,"['Action', 'Casual', 'Indie']"
2010,"['Simulation', 'Strategy']"
2010,['Casual']
2010,"['Adventure', 'Indie']"
2010,['Strategy']
2010,['Action']
2010,['Action']
2009,['Casual']
2010,['Adventure']
2007,"['Casual', 'Indie']"
2010,"['Strategy', 'Indie']"
2010,['Action']
2010,"['Indie', 'Casual']"
2010,"['Casual', 'Indie']"
2010,"['Action', 'Adventure', 'Strategy']"
2010,"['Indie', 'Casual']"
2010,"['Action', 'Adventure', 'Strategy']"
2010,"['Casual', 'Indie']"
2010,['Adventure']
2002,['Action']
2005,['Action']
2011,"['Action', 'Adventure']"
2011,"['Action', 'Adventure']"
2011,"['Action', 'Adventure']"
2011,"['Action', 'Adventure']"
2003,['Action']
2011,"['Action', 'Indie']"
2011,"['Action', 'Indie']"
2011,"['Action', 'Indie', 'Strategy']"
2011,['Action']
2011,"['Adventure', 'Casual']"
2011,['Adventure']
2011,"['Action', 'Strategy', 'Indie', 'Sports']"
2011,"['Action', 'Adventure', 'Casual']"
2011,['Action']
2011,['RPG']
2011,['RPG']
2011,['RPG']
2011,['Action']
2011,['Adventure']
2011,['Action']
2011,"['Action', 'Adventure']"
2011,['Action']
2011,['RPG']
2011,['RPG']
2009,['Simulation']
2011,['Simulation']
2010,['Simulation']
2009,['Simulation']
2010,['Simulation']
2010,['Simulation']
2010,['Simulation']
2011,"['Casual', 'Indie']"
2011,['Casual']
2011,['Simulation']
2011,"['Action', 'Casual', 'Indie']"
2011,"['Adventure', 'Casual']"
2011,['Strategy']
2011,['RPG']
2011,['Casual']
2011,['Racing']
2011,['RPG']
2011,"['Strategy', 'Indie', 'Simulation']"
2011,['Strategy']
2011,"['RPG', 'Strategy']"
2011,"['Indie', 'Strategy']"
2011,['RPG']
2011,['Strategy']
2011,"['Casual', 'Strategy']"
2011,"['Action', 'Indie']"
2011,['Action']
2011,"['Casual', 'Indie', 'Simulation', 'Strategy']"
2011,['Indie']
2011,['Strategy']
2011,['Strategy']
2011,['Strategy']
2011,['Strategy']
2013,"['Free to Play', 'Massively Multiplayer', 'RPG']"
2011,['Strategy']
2011,"['Indie', 'Casual']"
2011,['Strategy']
2011,['Action']
2011,['Simulation']
2011,['Simulation']
2011,['Strategy']
2011,['Racing']
2011,"['Action', 'Indie', 'Strategy']"
2010,['Strategy']
2011,['Strategy']
2011,"['Strategy', 'RPG']"
2011,"['Action', 'Indie']"
2011,['Strategy']
2011,"['Action', 'Adventure']"
2011,"['Action', 'RPG']"
2011,"['Action', 'Casual', 'Indie', 'Strategy']"
2011,['Strategy']
2011,['Strategy']
2011,['Strategy']
2011,['Strategy']
2011,"['Indie', 'Strategy']"
2011,['Strategy']
2011,"['Adventure', 'Indie', 'RPG']"
2011,"['Action', 'Adventure']"
2011,"['Adventure', 'Casual', 'Indie']"
2011,['Simulation']
2011,['Simulation']
2011,"['Action', 'RPG']"
2011,"['Action', 'Adventure']"
2009,['Adventure']
2005,['Adventure']
2011,['Action']
2011,"['Action', 'RPG']"
2011,['Action']
2011,"['Action', 'Free to Play']"
2009,"['Free to Play', 'Massively Multiplayer', 'RPG']"
2011,"['Action', 'Adventure', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']"
2011,['Strategy']
2011,['Simulation']
2011,['Strategy']
2011,['Indie']
2011,['Strategy']
2011,"['Indie', 'Casual']"
2011,"['Action', 'Casual', 'Indie']"
2011,"['Strategy', 'Indie']"
2011,"['Indie', 'Casual']"
2011,['Strategy']
2011,['Strategy']
2011,"['Action', 'RPG']"
2011,['Strategy']
2011,['Action']
2011,"['Action', 'RPG']"
2011,"['Action', 'RPG']"
2011,['Simulation']
2011,"['Action', 'RPG']"
2011,['Strategy']
2011,"['Action', 'RPG']"
2011,['Racing']
2011,['Simulation']
2011,['Strategy']
2011,['Strategy']
2011,['Strategy']
2011,['Strategy']
2011,['Strategy']
2011,"['Strategy', 'RPG']"
2011,['Strategy']
2011,"['Adventure', 'Casual']"
2011,['Action']
2011,['Strategy']
2011,"['Action', 'Adventure', 'Indie']"
2011,"['Action', 'RPG']"
2011,['Strategy']
2011,['Simulation']
2011,"['Indie', 'Casual']"
2011,['Simulation']
2011,['Action']
2011,"['Adventure', 'Indie', 'RPG']"
2011,['Strategy']
2011,"['Action', 'Indie']"
2011,"['Adventure', 'Strategy', 'RPG', 'Indie']"
2011,"['Action', 'Indie']"
2011,['Simulation']
2010,['Adventure']
2011,"['Action', 'Simulation', 'Strategy']"
2011,"['Casual', 'Indie']"
2011,"['Simulation', 'Strategy']"
2011,['Adventure']
2010,['Adventure']
2011,"['Indie', 'Casual']"
2011,['Strategy']
2011,"['Action', 'Indie']"
2011,['Strategy']
2011,['Strategy']
2011,['Indie']
2011,['Indie']
2011,"['Action', 'Indie', 'RPG', 'Strategy']"
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Strategy']
2011,"['Action', 'RPG']"
2011,"['Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'Strategy']"
2011,"['Action', 'Adventure', 'RPG']"
2011,['Action']
2011,['Strategy']
2012,"['Action', 'Indie']"
2011,['Strategy']
2011,"['Action', 'Indie']"
2011,"['Action', 'Indie', 'Racing', 'Strategy']"
2011,"['Action', 'Massively Multiplayer', 'Simulation']"
2011,"['Action', 'Adventure']"
2011,['Simulation']
2011,['Strategy']
2011,"['RPG', 'Simulation', 'Strategy']"
2011,"['Action', 'Indie']"
2010,['Adventure']
2011,['RPG']
2011,"['Action', 'Indie']"
2011,['Action']
2011,"['RPG', 'Strategy']"
2011,['Strategy']
2011,"['Action', 'Adventure', 'Indie', 'RPG']"
2011,['Simulation']
2011,"['Racing', 'Simulation']"
2007,['Strategy']
2011,"['Strategy', 'Indie', 'Casual', 'Simulation']"
2011,"['Action', 'Racing']"
2011,"['Strategy', 'Indie', 'Casual', 'Simulation']"
2011,"['Strategy', 'Indie', 'Casual', 'Simulation']"
2011,['Action']
2011,"['Action', 'Simulation']"
2011,"['Strategy', 'Indie', 'Casual', 'Simulation']"
2011,"['Action', 'Adventure']"
2011,"['Action', 'Adventure', 'RPG']"
2011,['Strategy']
2011,"['Casual', 'Simulation', 'Strategy']"
2011,['Simulation']
2011,"['Adventure', 'Casual', 'RPG']"
2011,['Simulation']
2011,"['Strategy', 'Indie', 'Simulation']"
2011,"['Action', 'Indie', 'RPG']"
2011,"['Indie', 'RPG']"
2011,"['Casual', 'Indie', 'Strategy']"
2011,"['Simulation', 'Strategy']"
2011,['RPG']
2011,"['Action', 'Indie']"
2011,"['Action', 'Indie', 'Strategy']"
2011,"['Action', 'RPG']"
2011,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
2011,['Action']
2011,"['Simulation', 'Strategy']"
2011,['Action']
2011,['Adventure']
2011,"['Action', 'Indie', 'Strategy']"
2011,['Action']
2011,"['Adventure', 'Strategy']"
2011,"['Adventure', 'Strategy']"
2011,['Strategy']
2011,"['Action', 'Indie']"
2011,"['Action', 'Indie']"
2011,"['Strategy', 'RPG', 'Indie']"
2011,"['Indie', 'Casual']"
2011,"['Action', 'RPG']"
2011,"['Indie', 'Racing']"
2011,"['Action', 'RPG']"
2011,['Strategy']
2011,['Strategy']
2011,"['Action', 'RPG']"
2011,['Strategy']
2010,['Strategy']
2011,['Action']
2011,['Strategy']
2011,['Simulation']
2011,"['Action', 'Free to Play', 'Massively Multiplayer']"
2012,"['Adventure', 'Indie']"
2011,['Action']
2011,['Strategy']
2011,['Action']
2011,['Racing']
2011,['Action']
2011,"['Action', 'RPG', 'Indie']"
2011,"['Simulation', 'Strategy']"
2011,['Action']
2011,['Strategy']
2011,['Action']
2011,['Action']
2011,"['Casual', 'Indie', 'RPG']"
2011,['Action']
2011,['Strategy']
2011,['Action']
2011,"['Action', 'Casual', 'Indie', 'Strategy']"
2011,"['Action', 'Simulation']"
2013,"['Action', 'Adventure', 'Indie']"
2011,"['Action', 'RPG', 'Indie']"
2011,"['Action', 'Indie']"
2011,"['Action', 'Indie']"
2011,"['Action', 'Indie']"
2011,"['Action', 'Adventure', 'RPG']"
2011,['Action']
2011,"['Casual', 'Strategy']"
2011,"['Action', 'RPG', 'Indie']"
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2011,['Action']
2012,"['Indie', 'Strategy']"
2012,['Simulation']
2012,"['RPG', 'Strategy']"
2012,"['Strategy', 'RPG']"
2005,"['Action', 'Indie']"
2012,"['Action', 'Indie', 'RPG']"
2010,"['Free to Play', 'Massively Multiplayer', 'RPG']"
2012,"['Action', 'RPG', 'Indie']"
2012,"['Action', 'RPG', 'Indie']"
2012,"['RPG', 'Simulation', 'Strategy']"
2012,"['Action', 'Indie']"
2012,['Strategy']
2012,"['Action', 'Casual', 'Indie']"
2012,"['Casual', 'Indie']"
2012,"['Casual', 'Indie', 'Racing']"
2012,"['Action', 'Casual', 'Indie']"
2012,['Action']
2012,['Action']
2012,"['Action', 'Indie']"
2012,"['RPG', 'Simulation', 'Strategy']"
2012,['Strategy']
2012,['Strategy']
2012,"['Action', 'Indie']"
2012,"['Action', 'Indie']"
2012,"['Action', 'Adventure']"
2010,['Simulation']
2012,"['Action', 'RPG']"
2011,['Action']
2012,"['RPG', 'Simulation']"
2012,"['Action', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']"
2012,['Strategy']
2012,['Action']
2012,"['Adventure', 'Casual']"
2012,"['Adventure', 'Indie']"
2012,"['Action', 'Adventure']"
2012,"['Action', 'Adventure']"
2012,['Action']
2012,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
2012,['Simulation']
2012,['Simulation']
2012,"['Action', 'Indie', 'Strategy']"
2012,"['Casual', 'Indie', 'Strategy']"
2012,"['Action', 'Indie', 'Casual']"
2012,"['Action', 'Adventure']"
2012,['Simulation']
2012,"['Adventure', 'Indie']"
2012,"['Casual', 'Indie']"
2012,['Simulation']
2012,['Simulation']
2012,"['Action', 'Adventure', 'Indie']"
2012,['Strategy']
2012,['Simulation']
2012,"['Casual', 'Indie', 'Strategy']"
2012,"['Action', 'RPG', 'Indie']"
2012,"['Strategy', 'RPG', 'Indie']"
2012,"['Indie', 'Strategy']"
2012,"['Adventure', 'Casual']"
2012,"['Strategy', 'RPG', 'Indie']"
2012,"['Action', 'Indie', 'Casual']"
2012,"['Action', 'Adventure', 'RPG']"
2012,['Simulation']
2012,"['Adventure', 'Indie', 'Strategy']"
2012,['Action']
2012,"['Action', 'Indie']"
2012,"['Action', 'Adventure', 'Indie']"
2012,"['Action', 'RPG']"
2012,['Strategy']
2012,['Adventure']
2012,"['Action', 'Indie']"
2012,"['Casual', 'Strategy']"
2012,"['Adventure', 'Casual']"
2012,"['Adventure', 'Casual']"
2012,"['Simulation', 'Strategy']"
2012,"['Casual', 'Indie']"
2012,['Simulation']
2012,"['Strategy', 'RPG', 'Indie']"
2012,['Racing']
2012,"['Indie', 'Strategy']"
2012,"['Action', 'RPG', 'Strategy']"
2012,['Simulation']
2012,"['Casual', 'Indie', 'RPG']"
2012,"['Strategy', 'RPG', 'Indie']"
2012,['Indie']
2012,"['Indie', 'Casual']"
2014,"['Indie', 'Simulation', 'Strategy', 'Early Access']"
2012,['Action']
2012,"['Strategy', 'Simulation']"
2012,['RPG']
2012,"['Action', 'Strategy', 'RPG', 'Indie']"
2012,"['Action', 'Adventure']"
2012,['Action']
2012,['Indie']
2012,"['Action', 'Casual', 'Simulation', 'Strategy']"
2012,['Strategy']
2012,['Action']
2012,['Action']
2012,"['Action', 'Strategy', 'Indie', 'Casual']"
2012,['Simulation']
2012,"['Casual', 'Indie', 'Strategy']"
2012,['Simulation']
2012,"['RPG', 'Simulation', 'Strategy']"
2010,"['Action', 'Indie']"
2012,"['Action', 'Indie']"
2012,['Adventure']
2012,"['Casual', 'Indie']"
2012,['Simulation']
2012,['Simulation']
2012,['Action']
2012,"['Action', 'Indie', 'RPG']"
2012,"['Indie', 'Simulation', 'Strategy']"
2012,['Simulation']
2012,"['Casual', 'Indie', 'Strategy']"
2012,"['Casual', 'Indie', 'Strategy']"
2012,['Simulation']
2012,['Simulation']
2012,"['Action', 'Adventure', 'RPG']"
2012,"['Strategy', 'RPG', 'Indie']"
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,"['Action', 'Indie']"
2012,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG']"
2012,"['Free to Play', 'Massively Multiplayer', 'RPG']"
2012,"['Indie', 'Casual']"
2012,['Indie']
2012,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
2012,"['Action', 'Adventure']"
2012,"['Casual', 'Strategy']"
2012,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
2012,['Action']
2012,['Action']
2012,"['Indie', 'RPG']"
2012,"['Adventure', 'Indie']"
2012,"['Massively Multiplayer', 'RPG']"
2012,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
2012,['Action']
2012,['Strategy']
2012,['Strategy']
2012,"['Casual', 'Strategy']"
2012,"['Action', 'Free to Play']"
2012,['Action']
2002,['RPG']
2012,['Strategy']
2012,"['Action', 'Indie']"
2012,"['Action', 'Indie', 'Casual']"
2012,"['RPG', 'Indie']"
2012,"['Animation &amp; Modeling', 'Video Production']"
2012,['Strategy']
2012,['Strategy']
2012,['Action']
2012,['Strategy']
2012,['Strategy']
2012,['Action']
2012,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']"
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,"['RPG', 'Strategy']"
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
2012,['Action']
