release_year,app_name
2011,Fractal: Make Blooms Not War
2011,Magicka: Horror Props Item Pack
2011,SkyDrift
2011,Magicka: Holiday Spirit Item Pack
2011,Total War: SHOGUN 2 - The Hattori Clan Pack
2011,Total War: Shogun 2 - Blood Pack DLC
2011,Magicka: The Stars Are Left
2011,Europa Universalis III: Reformation SpritePack
2011,Europa Universalis III: Enlightenment SpritePack
2010,Real Warfare 1242
2011,Batman Arkham City: Nightwing Bundle
2011,Galactic Civilizations® II: Ultimate Edition
2011,Train Simulator: West Coast Main Line North Route Add-On
2011,APB Reloaded
2012,Blackwell Unbound
2011,Batman Arkham City: Robin Bundle
2011,Men of War: Assault Squad - Skirmish Pack 2
2011,Killing Floor - Steampunk Character Pack 2
2011,Flatout 3: Chaos & Destruction
2011,Assassin's Creed Revelations - The Ancestors Character Pack
2011,Dungeon Defenders The Great Turkey Hunt! Mission & Costumes
2011,Tropico 4: Plantador DLC
2011,Earth Defense Force: Insect Armageddon
2011,Magic 2012 Deck Pack 2
2011,"Warhammer 40,000: Space Marine - Golden Relic Chainsword"
2011,"Warhammer 40,000: Space Marine - Traitor Legions Pack"
2011,Dungeons of Dredmor: Realm of the Diggle Gods
2011,"Warhammer 40,000: Space Marine - Emperor’s Elite Pack"
2011,Pirates of Black Cove: Origins
2011,"Warhammer 40,000: Space Marine - Golden Relic Bolter"
2011,Sanctum: X-Mas Carnage (Free DLC)
